mood_id,mood
1,unsured
2,happy
3,grateful
4,confident
5,optimistic
6,excited
7,loved
8,hopeful
9,super
10,great
11,good
12,meh
13,bad
14,sick
15,awful
16,bored
17,frustrated
18,anxious
19,stressed
20,confused
21,exhausted
22,upset
23,overwhelmed
24,scared
25,angry
26,lonely
27,guilty
28,adventurous
29,afraid
30,annoyed
31,content
32,delighted
33,fantastic
34,irritated
35,joyful
36,nervous
37,sad
38,tired
