university_id,university_name,university_country
unvst-019b0caa-6750-78a5-9507-46277ffff92c,Utah Valley University,United States
unvst-019b0caa-6750-78a5-9507-4628611b9df1,Wisconsin Lutheran College,United States
unvst-019b0caa-6750-78a5-9507-462960f2f2f7,Riverside Community College District,United States
unvst-019b0caa-6750-78a5-9507-462a241d6a7a,Wake Forest Baptist Health,United States
unvst-019b0caa-6750-78a5-9507-462b5e6246b3,University of Massachusetts Boston,United States
unvst-019b0caa-6750-78a5-9507-462ca55c896e,Florida Polytechnic University,United States
unvst-019b0caa-6750-78a5-9507-462d866bce8b,Wagner College,United States
unvst-019b0caa-6750-78a5-9507-462e29b4a32c,Wilmington University,United States
unvst-019b0caa-6750-78a5-9507-462fb3e779ae,International Technological University,United States
unvst-019b0caa-6750-78a5-9507-4630c53ebcc1,Young Harris College,United States
unvst-019b0caa-6750-78a5-9507-463185fec25e,University of Findlay,United States
unvst-019b0caa-6750-78a5-9507-46321c31dd34,Philadelphia College of Osteopathic Medicine,United States
unvst-019b0caa-6750-78a5-9507-4633afd54e8c,Yosemite Community College District,United States
unvst-019b0caa-6750-78a5-9507-4634633213b2,Coastal Alabama Community College,United States
unvst-019b0caa-6750-78a5-9507-4635493c17d1,Purdue University Northwest,United States
unvst-019b0caa-6750-78a5-9507-4636db56433a,Columbia Basin College,United States
unvst-019b0caa-6750-78a5-9507-4637f99339bd,Seattle Colleges,United States
unvst-019b0caa-6750-78a5-9507-463869e65ec4,Lipscomb University,United States
unvst-019b0caa-6750-78a5-9507-463978fc0f59,Tiffin University,United States
unvst-019b0caa-6750-78a5-9507-463aa6071529,NorthCap University,India
unvst-019b0caa-6750-78a5-9507-463bb92468d2,Troy University,United States
unvst-019b0caa-6750-78a5-9507-463c485dd71f,42 US,United States
unvst-019b0caa-6750-78a5-9507-463df359ed28,California Baptist University,United States
unvst-019b0caa-6750-78a5-9507-463e4b8071bd,Stevenson University,United States
unvst-019b0caa-6750-78a5-9507-463f1419ba72,Marine Biological Laboratory,United States
unvst-019b0caa-6750-78a5-9507-4640b14a138c,Maryville University,United States
unvst-019b0caa-6750-78a5-9507-46419ca604c9,The Art Institutes,United States
unvst-019b0caa-6750-78a5-9507-46422f967e21,University of Mississippi Medical Center,United States
unvst-019b0caa-6750-78a5-9507-46435a66d476,University of Central Oklahoma,United States
unvst-019b0caa-6750-78a5-9507-4644f350411a,Hallmark University,United States
unvst-019b0caa-6750-78a5-9507-464586fbeae8,Keiser University,United States
unvst-019b0caa-6750-78a5-9507-464607235b9b,St. Johns River State College,United States
unvst-019b0caa-6750-78a5-9507-4647dc713475,Indian River State College,United States
unvst-019b0caa-6750-78a5-9507-4648656f1894,Barnard College,United States
unvst-019b0caa-6750-78a5-9507-46497c2f7975,California Southern University,United States
unvst-019b0caa-6750-78a5-9507-464a01a62c03,University of La Verne,United States
unvst-019b0caa-6750-78a5-9507-464bec032876,Washington & Jefferson College,United States
unvst-019b0caa-6750-78a5-9507-464c75d7fad1,University of the People,United States
unvst-019b0caa-6750-78a5-9507-464deafc6594,Touro College,United States
unvst-019b0caa-6750-78a5-9507-464e288bac45,New Jersey City University,United States
unvst-019b0caa-6750-78a5-9507-464f46bdb070,Lander University,United States
unvst-019b0caa-6750-78a5-9507-4650cde3d7b6,SUNY Maritime College,United States
unvst-019b0caa-6750-78a5-9507-4651e4475ea5,Lesley University,United States
unvst-019b0caa-6750-78a5-9507-4652e82a031d,Laurus College,United States
unvst-019b0caa-6750-78a5-9507-465326d4324c,National Park College,United States
unvst-019b0caa-6750-78a5-9507-4654e657a066,Oklahoma Christian University,United States
unvst-019b0caa-6750-78a5-9507-46551909b88f,San Diego Christian College,United States
unvst-019b0caa-6750-78a5-9507-46562f172fb0,SANS Technology Institute,United States
unvst-019b0caa-6750-78a5-9507-4657dee7c845,Pasco-Hernando State College,United States
unvst-019b0caa-6750-78a5-9507-4658a3f772ad,New College of Florida,United States
unvst-019b0caa-6750-78a5-9507-4659d3724300,Grand Canyon University,United States
unvst-019b0caa-6750-78a5-9507-465ad5318fe3,Cold Spring Harbor Laboratory,United States
unvst-019b0caa-6750-78a5-9507-465be871c410,Albany State University,United States
unvst-019b0caa-6750-78a5-9507-465cb2ec496a,Lasell College,United States
unvst-019b0caa-6750-78a5-9507-465de257956d,Contra Costa Community College District,United States
unvst-019b0caa-6750-78a5-9507-465e147127e8,Mount St. Mary's University,United States
