interest_id,interest_name,interest_position
itr-019b0c71-83d5-7bb2-bee0-21cb351547f1,Soap Making,82
itr-019b0c71-83d5-7bb2-bee0-21cc012bfe2d,Stand-up Comedy,83
itr-019b0c71-83d5-7bb2-bee0-21cd8a2ddbe7,Surfing,84
itr-019b0c71-83d5-7bb2-bee0-21ce5a1d02c4,Swimming,85
itr-019b0c71-83d5-7bb2-bee0-21cfd2f80ee2,Table Tennis,86
itr-019b0c71-83d5-7bb2-bee0-21d0d4bd9aae,Tennis,87
itr-019b0c71-83d5-7bb2-bee0-21d10e754aee,Ukulele,88
itr-019b0c71-83d5-7bb2-bee0-21d29eacd189,Ultimate Frisbee,89
itr-019b0c71-83d5-7bb2-bee0-21d3dd591dee,Violin,90
itr-019b0c71-83d5-7bb2-bee0-21d42601ea66,Virtual Reality Fitness,91
itr-019b0c71-83d5-7bb2-bee0-21d581c5d401,Virtual Reality Gaming,92
itr-019b0c71-83d5-7bb2-bee0-21d6bc0c9366,Volunteering,93
itr-019b0c71-83d5-7bb2-bee0-21d704c86c47,Watercolor Painting,94
itr-019b0c71-83d5-7bb2-bee0-21d86987f89c,Weightlifting,95
itr-019b0c71-83d5-7bb2-bee0-21d9b3cb6db7,Whittling,96
itr-019b0c71-83d5-7bb2-bee0-21da90b37b2d,Wine Tasting,97
itr-019b0c71-83d5-7bb2-bee0-21db1c452a1c,Wood Carving,98
itr-019b0c71-83d5-7bb2-bee0-21dc58b52548,Woodworking,99
itr-019b0c71-83d5-7bb2-bee0-21ddd51587b7,Writing Short Stories,100
itr-019b0c71-83d5-7bb2-bee0-21deea90db98,Yoga,101
