wellness_factor_category_id,wellness_factor_category_name,wellness_factor_category_position
wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7,lifestyle,0
wnftctgr-019b5574-96f3-7d32-bc5d-cf8ac6ec639d,work,1
wnftctgr-019b5574-96f3-7d32-bc5d-cf8bb115d0d7,behavioural pattern,2
wnftctgr-019b5574-96f3-7d32-bc5d-cf8ca67c5841,recovery,3
wnftctgr-019b5574-96f3-7d32-bc5d-cf8d2a17a49a,social,4
wnftctgr-019b5574-96f3-7d32-bc5d-cf8e6d33c7b8,personal care,5
wnftctgr-019b5574-96f3-7d32-bc5d-cf8f0097881f,sleep,6
