notification_category_id,notification_category_name
ntfctctgr-019ba7d2-94b6-7362-9dd2-388bf9326e90,discussion
ntfctctgr-019ba7d2-94b7-71ae-ac6d-b252787bbe5a,friendship
ntfctctgr-019ba7d2-94b7-71ae-ac6d-b2536db18161,counselor
ntfctctgr-019ba7d2-94b7-71ae-ac6d-b254031d52e5,achievement
ntfctctgr-019ba7d2-94b7-71ae-ac6d-b255e74e0964,moderation
ntfctctgr-019ba7d2-94b7-71ae-ac6d-b2566e0e4c28,role
ntfctctgr-019ba7d2-94b7-71ae-ac6d-b257115d82b7,system
