achievement_category_id,achievement_category_name,achievement_category_position
achmctgr-019b973e-b48c-74e7-b48e-001b02b21907,general,0
achmctgr-019b973e-b48c-74e7-b48e-001c51bfc608,discussion,1
achmctgr-019b973e-b48c-74e7-b48e-001d4a045cbc,mood & wellness,2
